"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Inlet type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Detector mode]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Native spectrum identifier format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file content]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file content]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data file checksum type]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Spectrum representation]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Raw data file format]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument manufacturer]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument serial number]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Instrument software]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Number of scans]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Time range]"	"Unit"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Parameter Value[Data Transformation software]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Data Transformation software version]"	"Term Source REF"	"Term Accession Number"	"Data Transformation Name"	"Data Transformation Name"	"Data Transformation Name"	"Metabolite Assignment File"
"Extract_Blank_2"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"MSn spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000580"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5806"	""	""	"0.014-20.028"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_100_Extract_Blank_2_MSMS_RD1_01_16243"	""	"Data transformation"	""	"pos_100_Extract_Blank_2_MSMS_RD1_01_16243.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"Extract_Blank_3"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	"MSn spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000580"	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5799"	""	""	"0.014-20.028"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_101_Extract_Blank_3_MSMS_BD8_01_16311"	""	"Data transformation"	""	"pos_101_Extract_Blank_3_MSMS_BD8_01_16311.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5924"	""	""	"0.013-20.033"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15622"	""	"Data transformation"	""	"pos_ACN_RA1_01_15622.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5923"	""	""	"0.014-20.032"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15649"	""	"Data transformation"	""	"pos_ACN_RA1_01_15649.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5920"	""	""	"0.014-20.029"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15656"	""	"Data transformation"	""	"pos_ACN_RA1_01_15656.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5958"	""	""	"0.013-20.020"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15671"	""	"Data transformation"	""	"pos_ACN_RA1_01_15671.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5919"	""	""	"0.014-20.025"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15677"	""	"Data transformation"	""	"pos_ACN_RA1_01_15677.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5925"	""	""	"0.006-20.031"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15684"	""	"Data transformation"	""	"pos_ACN_RA1_01_15684.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5924"	""	""	"0.014-20.034"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15695"	""	"Data transformation"	""	"pos_ACN_RA1_01_15695.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
"ACN"	"Extraction"	""	""	""	"Chromatography"	"Thermo Scientific Dionex Ultimate 3000 UHPLC system"	""	""	"Acclaim RSLC 120 C18 (2.2 µm, 2.1 mm x 150 mm; Thermo Scientific)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive scan"	"90-1600"	""	""	""	"impact"	"MS"	"http://purl.obolibrary.org/obo/MS_1002077"	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"quadrupole"	"MS"	"http://purl.obolibrary.org/obo/MS_1000081"	""	""	""	"electron multiplier"	"MS"	"http://purl.obolibrary.org/obo/MS_1000253"	""	""	""	"Bruker BAF nativeID format"	"MS"	"http://purl.obolibrary.org/obo/MS_1000772"	"MS1 spectrum"	"MS"	"http://purl.obolibrary.org/obo/MS_1000579"	""	""	""	"SHA-1"	"MS"	"http://purl.obolibrary.org/obo/MS_1000569"	""	""	""	"Bruker BAF file"	"MS"	"http://purl.obolibrary.org/obo/MS_1000815"	"Bruker Daltonics instrument model"	"MS"	"http://purl.obolibrary.org/obo/MS_1000122"	""	""	""	"Bruker software"	"MS"	"http://purl.obolibrary.org/obo/MS_1000692"	"5926"	""	""	"0.006-20.034"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"pos_ACN_RA1_01_15706"	""	"Data transformation"	""	"pos_ACN_RA1_01_15706.mzML"	"Metabolite identification"	"CompassXport"	"MS"	"http://purl.obolibrary.org/obo/MS_1000717"	"3.0.9"	""	""	"MS:peak picking"	"MS:m/z calibration"	"MS:Conversion to mzML"	"m_MTBLS1968_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv"
