Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Characteristics[Nr]	Term Source REF	Term Accession Number	Factor Value[Species]	Term Source REF	Term Accession Number	Factor Value[Tissue]	Term Source REF	Term Accession Number	Factor Value[Harvest Date]	Term Source REF	Term Accession Number	Factor Value[Plot]	Term Source REF	Term Accession Number	Factor Value[Diversity]	Unit	Term Source REF	Term Accession Number	Factor Value[Local Diversity]	Unit	Term Source REF	Term Accession Number
Ssup_T20_1005	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E1_Ssup_T20_1005	_001			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_1005	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L1_Ssup_T20_1005	_001			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_1005	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R1_Ssup_T20_1005	_001			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_0111	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E2_Ssup_T20_0111	_002			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_0111	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L2_Ssup_T20_0111	_002			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_0111	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R2_Ssup_T20_0111	_002			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_1616	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				exudate			Sample collection	E3_Ssup_T20_1616	_003			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	exudate			03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_1616	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L3_Ssup_T20_1616	_003			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Ssup_T20_1616	Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R3_Ssup_T20_1616	_003			Schima superba	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/59677	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			T20			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_1414	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E4_Dold_L2_1414	_004			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_1414	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L4_Dold_L2_1414	_004			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_1414	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R4_Dold_L2_1414	_004			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_1110	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E5_Dold_L2_1110	_005			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_1110	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L5_Dold_L2_1110	_005			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_1110	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R5_Dold_L2_1110	_005			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	2	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_0717	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				exudate			Sample collection	E6_Dold_L2_0717	_006			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	exudate			04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_0717	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L6_Dold_L2_0717	_006			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Dold_L2_0717	Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R6_Dold_L2_0717	_006			Daphniphyllum oldhamii	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/1008903	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	04.04.19			L2			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_1613	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E7_Cgla_Q24_1613	_007			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_1613	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L7_Cgla_Q24_1613	_007			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_1613	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R7_Cgla_Q24_1613	_007			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_U13_1102	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				exudate			Sample collection	E8_Cgla_U13_1102	_008			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	exudate			03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_Q24_0205	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	Sample collection	L8_Cgla_Q24_0205	_008			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	leaf	PO	http://purl.obolibrary.org/obo/PO_0025034	03.04.19			Q24			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
Cgla_U13_1102	Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489				root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	Sample collection	R8_Cgla_U13_1102	_008			Quercus glauca	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/103489	root	PO	http://purl.obolibrary.org/obo/NCBITaxon_1	03.04.19			U13			1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189	1	count unit	UO	http://purl.obolibrary.org/obo/UO_0000189
