id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
193_neg_ms2_spectra_FT00939	C10H14OS	[M - H]-	Fatty acids	0.6213434934616089	Fatty Acids and Conjugates	0.6093716025352478	Thia fatty acids	0.7862971425056458	Secondary alcohols	0.5604293346405029	Secondary alcohols	0.5604293346405029	Alcohols and polyols	0.6535363793373108	Organooxygen compounds	0.785707950592041	Organic oxygen compounds	0.6447925567626953	Organic compounds; Organosulfur compounds; Alcohols and polyols; Organooxygen compounds; Thioethers; Secondary alcohols; Dialkylthioethers; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
321_neg_ms2_spectra_FT01599	C11H18BNO2	[M + Cl]-	Amino acids and Peptides	0.40618962049484253	Monoterpenoids	0.5663091540336609	Aminoacids	0.39045438170433044	Boronic acids	0.7982109785079956			Boronic acids	0.7982109785079956	Boronic acid derivatives	0.8945403695106506	Organic acids and derivatives	0.9916046857833862	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Azacyclic compounds; Hydrocarbon derivatives; Alkylboranes; Monoalkylboranes; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
161_neg_ms2_spectra_FT00821	C7H10O5	[M - H]-	Fatty acids	0.5680692195892334	Fatty Acids and Conjugates	0.6750736832618713	Dicarboxylic acids	0.7171065807342529	Medium-chain keto acids and derivatives	0.8100961446762085			Medium-chain keto acids and derivatives	0.8100961446762085	Keto acids and derivatives	0.6320326328277588	Organic acids and derivatives	0.9996969699859619	Organic compounds; Ketones; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Keto acids and derivatives; Gamma-keto acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Medium-chain keto acids and derivatives; Secondary alcohols; Carbonyl compounds; Polyols; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
257_neg_ms2_spectra_FT01268	C7H10N4O2S	[M - H]-	Alkaloids	0.5535751581192017	Histidine alkaloids	0.5851606726646423	Imidazole alkaloids	0.5836571455001831	Imidazoles	0.6465199589729309			Imidazoles	0.6465199589729309	Azoles	0.632224440574646	Organoheterocyclic compounds	0.9892701506614685	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Imidazoles; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Thioethers; Carbonyl compounds; Carboximidamides; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
289_neg_ms2_spectra_FT01447	C9H18N5O2	[M - H]-	Alkaloids	0.5623877048492432	Small peptides	0.46614694595336914	Purine alkaloids	0.33411553502082825	Guanidines	0.7308478951454163			Guanidines	0.7308478951454163	Organonitrogen compounds	0.9992526173591614	Organic nitrogen compounds	0.9994592070579529	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Guanidines; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
98_neg_ms2_spectra_FT00588	C5H9BO2	[M + Cl]-	Fatty acids	0.6274142265319824	Fatty Acids and Conjugates	0.45327499508857727	Fatty alcohols	0.3063199520111084	Boronic acids	0.7575170993804932			Boronic acids	0.7575170993804932	Boronic acid derivatives	0.8177158236503601	Organic acids and derivatives	0.9965094923973083	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Boronic acids; Organometallic compounds; Boronic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organometalloid compounds; Carbonyl compounds; Organoboron compounds; Organic salts; Organic oxides; Organic metalloid salts; Organic metal salts; Hydrocarbon derivatives; Alkylboranes; Organic oxygen compounds; Chemical entities
353_neg_ms2_spectra_FT01738	C7H6N2O2S2	[M + Cl]-	Alkaloids	0.5812403559684753	Nicotinic acid alkaloids	0.462563157081604	Pyridine alkaloids	0.4528900980949402	Heteroaromatic compounds	0.8397576808929443					Heteroaromatic compounds	0.8397576808929443	Organoheterocyclic compounds	0.9671040177345276	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organic acids and derivatives; Organonitrogen compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
577_neg_ms2_spectra_FT02756	C13H26N2O6	[M - H]-	Amino acids and Peptides	0.6509016156196594	Small peptides	0.7199551463127136	Dipeptides	0.5560542941093445	Alpha amino acids	0.7145509123802185	Amino acids and derivatives	0.9089282751083374	Amino acids, peptides, and analogues	0.909359335899353	Carboxylic acids and derivatives	0.9843250513076782	Organic acids and derivatives	0.9967994689941406	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
513_neg_ms2_spectra_FT02420	C9H11ClN4O3S	[M - H]-	Alkaloids	0.6692406535148621	Pseudoalkaloids	0.5578864812850952	pteridine alkaloids	0.26316651701927185	Chlorobenzenes	0.8299823999404907	Chlorobenzenes	0.8299823999404907	Halobenzenes	0.8121330142021179	Benzene and substituted derivatives	0.8247327208518982	Benzenoids	0.8263246417045593	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Halobenzenes; Triazoles; Organic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Aryl chlorides; Chlorobenzenes; Thioethers; Organochlorides; Benzene and substituted derivatives; Benzenoids; Aryl halides; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
449_neg_ms2_spectra_FT02174	C6H2Cl2F2O	[M + Br]-	Alkaloids	0.5802232027053833	Proline alkaloids	0.5887392163276672	Pyrrole alkaloids	0.5682703256607056	Aryl chlorides	0.6701039671897888			Aryl chlorides	0.6701039671897888	Aryl halides	0.8712031841278076	Organohalogen compounds	0.9995670914649963	Organic compounds; Organohalogen compounds; Organooxygen compounds; Alkyl chlorides; Alkyl fluorides; Aryl chlorides; Aryl fluorides; Organochlorides; Organofluorides; Aryl halides; Alkyl halides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
