rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.9972539698655597	-325.1774417726679	0.9999999999999999	15.268548894870731	C10H8Cl3F3N2O2	[M + Cl]-	UYIBZMPYRKEOOD	InChI=1S/C10H8Cl3F3N2O2/c11-9(12,13)7(19)18-8(20)17-6-3-1-2-5(4-6)10(14,15)16/h1-4,7,19H,(H2,17,18,20)	null	C1=CC(=CC(=C1)NC(=O)NC(C(Cl)(Cl)Cl)O)C(F)(F)F	3.66255832	""	COCONUT:(CNP0052825);SuperNatural:(SN00140717 SN00140716)	3145728	384.932717486168	949.599697171846	916_neg_ms2_spectra_FT04627
2	3	1	3	0.9947835293767683	-299.74391399801254	0.7321608040201005	83.13981166533003	C17H27N8O9P	[M - H]-	CBRVFFLBHDTTIM	InChI=1S/C17H27N8O9P/c18-2-1-3-32-35(31,24-16(30)8(19)4-10(26)27)33-5-9-12(28)13(29)17(34-9)25-7-23-11-14(20)21-6-22-15(11)25/h6-9,12-13,17,28-29H,1-5,18-19H2,(H,26,27)(H2,20,21,22)(H,24,30,31)	(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5''-adenosine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(NC(=O)C(CC(=O)O)N)OCCCN)O)O)N	-4.45449638	49852361;56643087;70678652;102252773	EcoCyc Mine;PubChem:(49852361 56643087 70678652 102252773);CHEBI:(60869 65330);PubChem class - bio and metabolites	17196646434	517.159504254037	62.4678064141567	1481_neg_ms2_spectra_FT08512
3	1	1	3	0.9945834040193615	-295.6207695449142	0.7934673366834171	58.72179907827973	C17H27N8O9P	[M - H]-	CBRVFFLBHDTTIM	InChI=1S/C17H27N8O9P/c18-2-1-3-32-35(31,24-16(30)8(19)4-10(26)27)33-5-9-12(28)13(29)17(34-9)25-7-23-11-14(20)21-6-22-15(11)25/h6-9,12-13,17,28-29H,1-5,18-19H2,(H,26,27)(H2,20,21,22)(H,24,30,31)	(3-aminopropyl)(L-aspartyl-1-amino)phosphoryl-5''-adenosine	C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)COP(=O)(NC(=O)C(CC(=O)O)N)OCCCN)O)O)N	-4.45449638	49852361;56643087;70678652;102252773	EcoCyc Mine;PubChem:(49852361 56643087 70678652 102252773);CHEBI:(60869 65330);PubChem class - bio and metabolites	17196646434	517.157727793992	67.5532844646063	1484_neg_ms2_spectra_FT08521
4	2	1	2	0.9938034632791412	-226.50760960898938	0.23768844221105528	68.4573712039195	C22H34N6O14S	[M + Cl]-	JDFWWJVNPWBALT	InChI=1S/C22H34N6O14S/c1-43-3-2-10(19(39)24-7-17(36)37)25-20(40)12(5-15(32)33)27-22(42)13(6-16(34)35)28-21(41)11(4-14(30)31)26-18(38)9(23)8-29/h9-13,29H,2-8,23H2,1H3,(H,24,39)(H,25,40)(H,26,38)(H,27,42)(H,28,41)(H,30,31)(H,32,33)(H,34,35)(H,36,37)	null	CSCCC(C(=O)NCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CO)N	-7.69999981	46174177	PubChem:(46174177);PubChem class - bio and metabolites	16777218	673.152088004763	480.327961863325	1858_neg_ms2_spectra_FT12240
5	3	1	3	0.9909543606535633	-325.9250106529048	0.027638190954773875	24.481042534978595	C38H42N4O16	[M + Br]-	NXLVZDKZEHSFRX	InChI=1S/C38H42N4O16/c43-23-9-5-19(27(47)31(23)51)35(55)39-13-3-17-41(37(57)21-7-11-25(45)33(53)29(21)49)15-1-2-16-42(38(58)22-8-12-26(46)34(54)30(22)50)18-4-14-40-36(56)20-6-10-24(44)32(52)28(20)48/h5-12,43-54H,1-4,13-18H2,(H,39,55)(H,40,56)	Tetra-thb-spermine	C1=CC(=C(C(=C1C(=O)NCCCN(CCCCN(CCCNC(=O)C2=C(C(=C(C=C2)O)O)O)C(=O)C3=C(C(=C(C=C3)O)O)O)C(=O)C4=C(C(=C(C=C4)O)O)O)O)O)O	3.9000001	196757	MeSH:(196757);PubChem:(196757);PubMed	70	889.174522030302	452.966804446234	2064_neg_ms2_spectra_FT15288
6	3	1	2	0.9812081544455402	-337.34754153820865	0.01206030150753769	42.38081133468343	C44H58O21	[M + Br]-	NWUCYAVQIBWSFN	InChI=1S/C44H58O21/c1-54-26-9-7-19(40(58-5)42(26)65-44-37(53)35(51)33(49)31(16-47)64-44)10-22(14-45)61-41-28(56-3)12-21(13-29(41)57-4)39-24-18-59-38(23(24)17-60-39)20-6-8-25(27(11-20)55-2)62-43-36(52)34(50)32(48)30(15-46)63-43/h6-9,11-13,22-24,30-39,43-53H,10,14-18H2,1-5H3	null	COC1=C(C(=C(C=C1)CC(CO)OC2=C(C=C(C=C2OC)C3C4COC(C4CO3)C5=CC(=C(C=C5)OC6C(C(C(C(O6)CO)O)O)O)OC)OC)OC)OC7C(C(C(C(O7)CO)O)O)O	0.295926422	""	COCONUT:(CNP0304441);Natural Products:(UNPD23895);SuperNatural:(SN00309457)	3178496	1001.27070133767	372.737419691406	2145_neg_ms2_spectra_FT16389
7	2	1	2	0.9783453440585205	-222.6608682607425	0.018090452261306535	62.83024024288265	C16H17N6O8PS	[M - H]-	PGDFJXBITWBGSR	InChI=1S/C16H17N6O8PS/c17-14-11-15(19-6-18-14)21(7-20-11)16-13(24)12(23)10(29-16)5-28-31(27,32)30-9-3-1-8(2-4-9)22(25)26/h1-4,6-7,10,12-13,16,23-24H,5H2,(H,27,32)(H2,17,18,19)	Adenosine 5''-O-phosphorothioate O-4-nitrophenyl ester	C1=CC(=CC=C1[N+](=O)[O-])OP(=S)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O	0.52006048	191983;13873452	PubChem:(191983 13873452);MeSH:(191983)	6	483.05081229407	428.558491067874	1339_neg_ms2_spectra_FT07440
8	1	1	2	0.9779025068244533	-295.3412267651085	0.8723618090452262	58.89193144532632	C16H17N6O8PS	[M - H]-	PGDFJXBITWBGSR	InChI=1S/C16H17N6O8PS/c17-14-11-15(19-6-18-14)21(7-20-11)16-13(24)12(23)10(29-16)5-28-31(27,32)30-9-3-1-8(2-4-9)22(25)26/h1-4,6-7,10,12-13,16,23-24H,5H2,(H,27,32)(H2,17,18,19)	Adenosine 5''-O-phosphorothioate O-4-nitrophenyl ester	C1=CC(=CC=C1[N+](=O)[O-])OP(=S)(O)OCC2C(C(C(O2)N3C=NC4=C(N=CN=C43)N)O)O	0.52006048	191983;13873452	PubChem:(191983 13873452);MeSH:(191983)	6	483.050974835839	388.82211804817	1334_neg_ms2_spectra_FT07425
9	1	1	2	0.9757279455221988	-454.12355483323466	0.9482412060301508	47.19769180538952	C27H46ClN3O3S	[M - H]-	IBXVOJXKYXQZNN	InChI=1S/C27H46ClN3O3S/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-17-24-35(32,33)30-29-27(31-20-22-34-23-21-31)25-18-15-16-19-26(25)28/h15-16,18-19,30H,2-14,17,20-24H2,1H3	N-[[(2-chlorophenyl)-morpholin-4-ylmethylidene]amino]hexadecane-1-sulfonamide	CCCCCCCCCCCCCCCCS(=O)(=O)NN=C(C1=CC=CC=C1Cl)N2CCOCC2	9.0	320923;6026343;9555209	PubChem:(320923 6026343 9555209);PubChem class - safety and toxic	67108866	526.290224378884	636.370064360625	1511_neg_ms2_spectra_FT08786
10	1	1	1	0.9719754426395066	-274.84899958655575	0.9999999999999999	21.474084227915977	C10H8Cl3F3N2O2	[M + Cl]-	UYIBZMPYRKEOOD	InChI=1S/C10H8Cl3F3N2O2/c11-9(12,13)7(19)18-8(20)17-6-3-1-2-5(4-6)10(14,15)16/h1-4,7,19H,(H2,17,18,20)	null	C1=CC(=CC(=C1)NC(=O)NC(C(Cl)(Cl)Cl)O)C(F)(F)F	3.66255832	""	COCONUT:(CNP0052825);SuperNatural:(SN00140717 SN00140716)	3145728	384.932267587337	808.024344499485	918_neg_ms2_spectra_FT04629
