id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
259_pos_ms2_spectra_FT02047	C8H21N4	[M + H]+	Alkaloids	0.999184787273407	Ornithine alkaloids	0.9882497787475586	Polyamines	0.9246299266815186	Guanidines	0.9324914216995239			Guanidines	0.9324914216995239	Organonitrogen compounds	0.9999998807907104	Organic nitrogen compounds	1.0	Organic compounds; Organonitrogen compounds; Guanidines; Monoalkylamines; Dialkylamines; Amines; Primary amines; Carboximidamides; Organic cations; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
130_pos_ms2_spectra_FT01073	C3H9N6	[M + H]+	Alkaloids	0.8404780626296997	Ornithine alkaloids	0.9415247440338135	Polyamines	0.8493873476982117	Biguanides	0.6597579121589661	Biguanides	0.6597579121589661	Guanidines	0.9984002709388733	Organonitrogen compounds	0.9999969005584717	Organic nitrogen compounds	1.0	Organic compounds; Imines; Organonitrogen compounds; Guanidines; Biguanides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
517_pos_ms2_spectra_FT04082	C12H30N3	[M + Na]+	Alkaloids	0.9552086591720581	Ornithine alkaloids	0.6108767986297607	Polyamines	0.5633552670478821	Primary amines	0.5351542234420776	Primary amines	0.5351542234420776	Amines	0.7190172076225281	Organonitrogen compounds	0.9999874830245972	Organic nitrogen compounds	0.9999995231628418	Organic compounds; Organonitrogen compounds; Amines; Primary amines; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
345_pos_ms2_spectra_FT02841	C6H18N8	[M + H]+	Alkaloids	0.9765159487724304	Ornithine alkaloids	0.9902189373970032	Polyamines	0.970980703830719	Ortho amides	0.5632688999176025			Ortho amides	0.5632688999176025	Organonitrogen compounds	0.9999982118606567	Organic nitrogen compounds	1.0	Organic compounds; Imines; Organic acids and derivatives; Organonitrogen compounds; Ortho amides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organic nitrogen compounds; Chemical entities
131_pos_ms2_spectra_FT01075	C3H9N6	[M + H]+	Alkaloids	0.8128514885902405	Ornithine alkaloids	0.9190086722373962	Polyamines	0.78416907787323	Biguanides	0.6697061657905579	Biguanides	0.6697061657905579	Guanidines	0.9982446432113647	Organonitrogen compounds	0.9999970197677612	Organic nitrogen compounds	1.0	Organic compounds; Imines; Organonitrogen compounds; Guanidines; Biguanides; Carboximidamides; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities
216_pos_ms2_spectra_FT01704	C4H12N2O3	[M + Na]+	Amino acids and Peptides	0.6602433323860168	Small peptides	0.44029465317726135	Aminoacids	0.7756574153900146	Alkanolamines	0.6004884839057922	Alkanolamines	0.6004884839057922	Amines	0.9877853393554688	Organonitrogen compounds	0.9999710321426392	Organic nitrogen compounds	0.9999998807907104	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Amines; Primary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
388_pos_ms2_spectra_FT03243	C9H16N2O2S	[M + H]+	Alkaloids	0.31755319237709045	Histidine alkaloids	0.5052214860916138	Imidazole alkaloids	0.5176094174385071	Alpha amino acids	0.5402505397796631	Amino acids and derivatives	0.9263268113136292	Amino acids, peptides, and analogues	0.9198113679885864	Carboxylic acids and derivatives	0.8739622831344604	Organic acids and derivatives	0.9543101787567139	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Monoalkylamines; Monocarboxylic acids and derivatives; Thioethers; Carboxylic acids; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
260_pos_ms2_spectra_FT02071	C9H18OS	[M + H]+	Fatty acids	0.983100414276123	Fatty acyls	0.9881289601325989	Fatty alcohols	0.5348367691040039	Ketones	0.7851999402046204	Ketones	0.7851999402046204	Carbonyl compounds	0.9257621169090271	Organooxygen compounds	0.9998185038566589	Organic oxygen compounds	0.9999997615814209	Organic compounds; Organosulfur compounds; Ketones; Alcohols and polyols; Organooxygen compounds; Thioethers; Carbonyl compounds; Sulfenyl compounds; Dialkylthioethers; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
432_pos_ms2_spectra_FT03535	C11H25NO2	[M + Na]+	Fatty acids	0.6459811329841614	Fatty Acids and Conjugates	0.42913371324539185	Fatty alcohols	0.19380541145801544	Tertiary alcohols	0.5279372930526733	Tertiary alcohols	0.5279372930526733	Alcohols and polyols	0.978588342666626	Organooxygen compounds	0.9999997615814209	Organic oxygen compounds	1.0	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; Monoalkylamines; Tertiary alcohols; Amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
861_pos_ms2_spectra_FT06890	C18H33OP	[M + H]+	Fatty acids	0.9409455060958862	Fatty acyls	0.9451878070831299	Hydrocarbons	0.5009083151817322	Organophosphorus compounds	0.9856328964233398							Organophosphorus compounds	0.9856328964233398	Organic compounds; Organophosphorus compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Chemical entities
