Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
R.cavernosa.SWE.1.autoMSMS.neg_P1.B.4_1_7179	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/1-1-autoMSMS-neg_P1-B-4_1_7179.d.zip	Data transformation		FILES/DERIVED_FILES/1-1-autoMSMS-neg_P1-B-4_1_7179.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.cavernosa.SWE.2.autoMSMS.neg_P1.B.5_1_7180	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/1-2-autoMSMS-neg_P1-B-5_1_7180.d.zip	Data transformation		FILES/DERIVED_FILES/1-2-autoMSMS-neg_P1-B-5_1_7180.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.cavernosa.SWE.3.autoMSMS.neg_P1.B.6_1_7181	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/1-3-autoMSMS-neg_P1-B-6_1_7181.d.zip	Data transformation		FILES/DERIVED_FILES/1-3-autoMSMS-neg_P1-B-6_1_7181.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.canaliculata.GOT.1.autoMSMS.neg_P1.C.7_1_7191	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/11-1-autoMSMS-neg_P1-C-7_1_7191.d.zip	Data transformation		FILES/DERIVED_FILES/11-1-autoMSMS-neg_P1-C-7_1_7191.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.canaliculata.GOT.2.autoMSMS.neg_P1.C.8_1_7192	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/11-2-autoMSMS-neg_P1-C-8_1_7192.d.zip	Data transformation		FILES/DERIVED_FILES/11-2-autoMSMS-neg_P1-C-8_1_7192.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.canaliculata.GOT.3.autoMSMS.neg_P1.C.9_1_7193	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/11-3-autoMSMS-neg_P1-C-9_1_7193.d.zip	Data transformation		FILES/DERIVED_FILES/11-3-autoMSMS-neg_P1-C-9_1_7193.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.bifurca.GOT.1.autoMSMS.neg_P1.E.4_1_7206	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/12-1-autoMSMS-neg_P1-E-4_1_7206.d.zip	Data transformation		FILES/DERIVED_FILES/12-1-autoMSMS-neg_P1-E-4_1_7206.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.bifurca.GOT.2.autoMSMS.neg_P1.E.5_1_7207	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/12-2-autoMSMS-neg_P1-E-5_1_7207.d.zip	Data transformation		FILES/DERIVED_FILES/12-2-autoMSMS-neg_P1-E-5_1_7207.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.bifurca.GOT.3.autoMSMS.neg_P1.E.6_1_7208	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/12-3-autoMSMS-neg_P1-E-6_1_7208.d.zip	Data transformation		FILES/DERIVED_FILES/12-3-autoMSMS-neg_P1-E-6_1_7208.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.GOT.1.autoMSMS.neg_P1.D.1_1_7194	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/13-1-autoMSMS-neg_P1-D-1_1_7194.d.zip	Data transformation		FILES/DERIVED_FILES/13-1-autoMSMS-neg_P1-D-1_1_7194.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.GOT.2.autoMSMS.neg_P1.D.2_1_7195	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/13-2-autoMSMS-neg_P1-D-2_1_7195.d.zip	Data transformation		FILES/DERIVED_FILES/13-2-autoMSMS-neg_P1-D-2_1_7195.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.GOT.3.autoMSMS.neg_P1.D.3_1_7196	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/13-3-autoMSMS-neg_P1-D-3_1_7196.d.zip	Data transformation		FILES/DERIVED_FILES/13-3-autoMSMS-neg_P1-D-3_1_7196.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE1.1.autoMSMS.neg_P1.D.7_1_7200	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/17-1-autoMSMS-neg_P1-D-7_1_7200.d.zip	Data transformation		FILES/DERIVED_FILES/17-1-autoMSMS-neg_P1-D-7_1_7200.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE1.2.autoMSMS.neg_P1.D.8_1_7201	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/17-2-autoMSMS-neg_P1-D-8_1_7201.d.zip	Data transformation		FILES/DERIVED_FILES/17-2-autoMSMS-neg_P1-D-8_1_7201.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE1.3.autoMSMS.neg_P1.D.9_1_7202	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/17-3-autoMSMS-neg_P1-D-9_1_7202.d.zip	Data transformation		FILES/DERIVED_FILES/17-3-autoMSMS-neg_P1-D-9_1_7202.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.sorocarpa.SWE.1.autoMSMS.neg_P1.B.7_1_7182	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/2-1-autoMSMS-neg_P1-B-7_1_7182.d.zip	Data transformation		FILES/DERIVED_FILES/2-1-autoMSMS-neg_P1-B-7_1_7182.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.sorocarpa.SWE.2.autoMSMS.neg_P1.B.8_1_7183	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/2-2-autoMSMS-neg_P1-B-8_1_7183.d.zip	Data transformation		FILES/DERIVED_FILES/2-2-autoMSMS-neg_P1-B-8_1_7183.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
R.sorocarpa.SWE.3.autoMSMS.neg_P1.B.9_1_7184	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	negative	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/2-3-autoMSMS-neg_P1-B-9_1_7184.d.zip	Data transformation		FILES/DERIVED_FILES/2-3-autoMSMS-neg_P1-B-9_1_7184.mzML	Metabolite identification		m_MTBLS2239_LC-MS_negative_reverse-phase_metabolite_profiling_v2_maf.tsv
