Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
R.cavernosa.SWE.1.autoMSMS.pos_P1.B.4_1_7061	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/1-1-autoMSMS-pos_P1-B-4_1_7061.d.zip	Data transformation		FILES/DERIVED_FILES/1-1-autoMSMS-pos_P1-B-4_1_7061.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.cavernosa.SWE.2.autoMSMS.pos_P1.B.5_1_7119	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/1-2-autoMSMS-pos_P1-B-5_1_7119.d.zip	Data transformation		FILES/DERIVED_FILES/1-2-autoMSMS-pos_P1-B-5_1_7119.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.cavernosa.SWE.3.autoMSMS.pos_P1.B.6_1_7120	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/1-3-autoMSMS-pos_P1-B-6_1_7120.d.zip	Data transformation		FILES/DERIVED_FILES/1-3-autoMSMS-pos_P1-B-6_1_7120.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.canaliculata.GOT.1.autoMSMS.pos_P1.C.7_1_7130	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/11-1-autoMSMS-pos_P1-C-7_1_7130.d.zip	Data transformation		FILES/DERIVED_FILES/11-1-autoMSMS-pos_P1-C-7_1_7130.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.canaliculata.GOT.2.autoMSMS.pos_P1.C.8_1_7131	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/11-2-autoMSMS-pos_P1-C-8_1_7131.d.zip	Data transformation		FILES/DERIVED_FILES/11-2-autoMSMS-pos_P1-C-8_1_7131.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.canaliculata.GOT.3.autoMSMS.pos_P1.C.9_1_7132	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/11-3-autoMSMS-pos_P1-C-9_1_7132.d.zip	Data transformation		FILES/DERIVED_FILES/11-3-autoMSMS-pos_P1-C-9_1_7132.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.bifurca.GOT.1.autoMSMS.pos_P1.E.4_1_7145	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/12-1-autoMSMS-neg_P1-E-4_1_7206.d.zip	Data transformation		FILES/DERIVED_FILES/12-1-autoMSMS-neg_P1-E-4_1_7206.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.bifurca.GOT.2.autoMSMS.pos_P1.E.5_1_7146	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/12-2-autoMSMS-neg_P1-E-5_1_7207.d.zip	Data transformation		FILES/DERIVED_FILES/12-2-autoMSMS-neg_P1-E-5_1_7207.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.bifurca.GOT.3.autoMSMS.pos_P1.E.6_1_7147	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/12-3-autoMSMS-neg_P1-E-6_1_7208.d.zip	Data transformation		FILES/DERIVED_FILES/12-3-autoMSMS-neg_P1-E-6_1_7208.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.GOT.1.autoMSMS.pos_P1.D.1_1_7133	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/13-1-autoMSMS-pos_P1-D-1_1_7133.d.zip	Data transformation		FILES/DERIVED_FILES/13-1-autoMSMS-pos_P1-D-1_1_7133.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.GOT.2.autoMSMS.pos_P1.D.2_1_7134	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/13-2-autoMSMS-pos_P1-D-2_1_7134.d.zip	Data transformation		FILES/DERIVED_FILES/13-2-autoMSMS-pos_P1-D-2_1_7134.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.ciliifera.GOT.3.autoMSMS.pos_P1.D.3_1_7135	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/13-3-autoMSMS-pos_P1-D-3_1_7135.d.zip	Data transformation		FILES/DERIVED_FILES/13-3-autoMSMS-pos_P1-D-3_1_7135.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE1.1.autoMSMS.pos_P1.D.7_1_7139	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/17-1-autoMSMS-pos_P1-D-7_1_7139.d.zip	Data transformation		FILES/DERIVED_FILES/17-1-autoMSMS-pos_P1-D-7_1_7139.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE1.2.autoMSMS.pos_P1.D.8_1_7140	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/17-2-autoMSMS-pos_P1-D-8_1_7140.d.zip	Data transformation		FILES/DERIVED_FILES/17-2-autoMSMS-pos_P1-D-8_1_7140.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.subbifurca.OE1.3.autoMSMS.pos_P1.D.9_1_7141	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/17-3-autoMSMS-pos_P1-D-9_1_7141.d.zip	Data transformation		FILES/DERIVED_FILES/17-3-autoMSMS-pos_P1-D-9_1_7141.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.sorocarpa.SWE.1.autoMSMS.pos_P1.B.7_1_7121	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/2-1-autoMSMS-pos_P1-B-7_1_7121.d.zip	Data transformation		FILES/DERIVED_FILES/2-1-autoMSMS-pos_P1-B-7_1_7121.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.sorocarpa.SWE.2.autoMSMS.pos_P1.B.8_1_7122	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/2-2-autoMSMS-pos_P1-B-8_1_7122.d.zip	Data transformation		FILES/DERIVED_FILES/2-2-autoMSMS-pos_P1-B-8_1_7122.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.sorocarpa.SWE.3.autoMSMS.pos_P1.B.9_1_7123	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/2-3-autoMSMS-pos_P1-B-9_1_7123.d.zip	Data transformation		FILES/DERIVED_FILES/2-3-autoMSMS-pos_P1-B-9_1_7123.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.beyrichiana.OEL.1.autoMSMS.pos_P1.D.4_1_7136	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/20-1-autoMSMS-pos_P1-D-4_1_7136.d.zip	Data transformation		FILES/DERIVED_FILES/20-1-autoMSMS-pos_P1-D-4_1_7136.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.beyrichiana.OEL.2.autoMSMS.pos_P1.D.5_1_7137	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/20-2-autoMSMS-pos_P1-D-5_1_7137.d.zip	Data transformation		FILES/DERIVED_FILES/20-2-autoMSMS-pos_P1-D-5_1_7137.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
R.beyrichiana.OEL.3.autoMSMS.pos_P1.D.6_1_7138	Extraction				Chromatography	Agilent 1290 Infinity HPLC				Nucleodur X18 Gravity-SB column	reverse phase						Mass spectrometry	positive	20-1300	Bruker TIMS-TOF			electrospray ionization	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder				DDA	FILES/RAW_FILES/20-3-autoMSMS-pos_P1-D-6_1_7138.d.zip	Data transformation		FILES/DERIVED_FILES/20-3-autoMSMS-pos_P1-D-6_1_7138.mzML	Metabolite identification		m_MTBLS2239_LC-MS_positive_reverse-phase_metabolite_profiling_v2_maf.tsv
