Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Treatment]	Term Source REF	Term Accession Number	Factor Value[Biological soil crust community site]	Term Source REF	Term Accession Number	Factor Value[Biological species]	Term Source REF	Term Accession Number
R.cavernosa.SWE.1.autoMSMS.neg_P1.B.4_1_7179	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.cavernosa.SWE.1.autoMSMS.neg_P1.B.4_1_7179	R.cavernosa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	55.935140445, 14.261055376	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636
R.cavernosa.SWE.2.autoMSMS.neg_P1.B.5_1_7180	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.cavernosa.SWE.2.autoMSMS.neg_P1.B.5_1_7180	R.cavernosa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	55.935140445, 14.261055376	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636
R.cavernosa.SWE.3.autoMSMS.neg_P1.B.6_1_7181	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.cavernosa.SWE.3.autoMSMS.neg_P1.B.6_1_7181	R.cavernosa.SWE	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	55.935140445, 14.261055376	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia cavernosa	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_122636
R.canaliculata.GOT.1.autoMSMS.neg_P1.C.7_1_7191	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.canaliculata.GOT.1.autoMSMS.neg_P1.C.7_1_7191	R.canaliculata.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.79400221, 18.484261361	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758
R.canaliculata.GOT.2.autoMSMS.neg_P1.C.8_1_7192	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.canaliculata.GOT.2.autoMSMS.neg_P1.C.8_1_7192	R.canaliculata.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.79400221, 18.484261361	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758
R.canaliculata.GOT.3.autoMSMS.neg_P1.C.9_1_7193	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.canaliculata.GOT.3.autoMSMS.neg_P1.C.9_1_7193	R.canaliculata.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.79400221, 18.484261361	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia canaliculata	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779758
R.bifurca.GOT.1.autoMSMS.neg_P1.E.4_1_7206	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.bifurca.GOT.1.autoMSMS.neg_P1.E.4_1_7206	R.bifurca.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.848309241, 18.633133946	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757
R.bifurca.GOT.2.autoMSMS.neg_P1.E.5_1_7207	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.bifurca.GOT.2.autoMSMS.neg_P1.E.5_1_7207	R.bifurca.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.848309241, 18.633133946	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757
R.bifurca.GOT.3.autoMSMS.neg_P1.E.6_1_7208	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.bifurca.GOT.3.autoMSMS.neg_P1.E.6_1_7208	R.bifurca.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.848309241, 18.633133946	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia bifurca	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_2779757
R.ciliifera.GOT.1.autoMSMS.neg_P1.D.1_1_7194	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659	whole plant	BTO	http://purl.obolibrary.org/obo/BTO_0001461				Fresh Specimen	NCIT	http://purl.obolibrary.org/obo/NCIT_C84517	Sample collection	R.ciliifera.GOT.1.autoMSMS.neg_P1.D.1_1_7194	R.ciliifera.GOT	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	57.845770321, 18.674179874	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/placeholder	Riccia ciliifera	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_71659
