Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Column model]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Unit	Term Source REF	Term Accession Number	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	Parameter Value[Inlet type]	Term Source REF	Term Accession Number	Parameter Value[Detector]	Term Source REF	Term Accession Number	Parameter Value[Detector mode]	Term Source REF	Term Accession Number	Parameter Value[Native spectrum identifier format]	Term Source REF	Term Accession Number	Parameter Value[Data file content]	Term Source REF	Term Accession Number	Parameter Value[Data file content]	Term Source REF	Term Accession Number	Parameter Value[Data file content]	Term Source REF	Term Accession Number	Parameter Value[Data file checksum type]	Term Source REF	Term Accession Number	Parameter Value[Spectrum representation]	Term Source REF	Term Accession Number	Parameter Value[Raw data file format]	Term Source REF	Term Accession Number	Parameter Value[Instrument manufacturer]	Term Source REF	Term Accession Number	Parameter Value[Instrument serial number]	Parameter Value[Instrument software]	Term Source REF	Term Accession Number	Parameter Value[Number of scans]	Parameter Value[Time range]	Unit	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Parameter Value[Data Transformation software]	Term Source REF	Term Accession Number	Parameter Value[Data Transformation software version]	Data Transformation Name	Term Source REF	Term Accession Number	Data Transformation Name	Term Source REF	Term Accession Number	Metabolite Assignment File
BAL_214_Ecoli-MEcPP Ecoli_1_1	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-MEcPP Ecoli_1_1	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-MEcPP Ecoli_1_1.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-MEcPP Ecoli_1_2	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-MEcPP Ecoli_1_2	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-MEcPP Ecoli_1_2.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-MEcPP Ecoli_1_3	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-MEcPP Ecoli_1_3	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-MEcPP Ecoli_1_3.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-MEcPP Ecoli_1_4	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-MEcPP Ecoli_1_4	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-MEcPP Ecoli_1_4.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-MEcPP Ecoli_1_5	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-MEcPP Ecoli_1_5	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-MEcPP Ecoli_1_5.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-control Ecoli_2_1	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-control Ecoli_2_1	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-control Ecoli_2_1.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-control Ecoli_2_2	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-control Ecoli_2_2	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-control Ecoli_2_2.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-control Ecoli_2_3	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-control Ecoli_2_3	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-control Ecoli_2_3.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-control Ecoli_2_4	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-control Ecoli_2_4	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-control Ecoli_2_4.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
BAL_214_Ecoli-control Ecoli_2_5	Extraction				Chromatography										Mass spectrometry	negative scan					QTRAP 6500	MS	http://purl.obolibrary.org/obo/MS_1002581	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	axial ejection linear ion trap	MS	http://purl.obolibrary.org/obo/MS_1000078				electron multiplier	MS	http://purl.obolibrary.org/obo/MS_1000253				WIFF nativeID format	MS	http://purl.obolibrary.org/obo/MS_1000770	selected reaction monitoring chromatogram	MS	http://purl.obolibrary.org/obo/MS_1001473	total ion current chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000235	basepeak chromatogram	MS	http://purl.obolibrary.org/obo/MS_1000628	SHA-1	MS	http://purl.obolibrary.org/obo/MS_1000569				ABI WIFF format	MS	http://purl.obolibrary.org/obo/MS_1000562	SCIEX instrument model	MS	http://purl.obolibrary.org/obo/MS_1000121	BL24141405	Analyst	MS	http://purl.obolibrary.org/obo/MS_1000551	191					BAL_214_Ecoli-control Ecoli_2_5	FILES/RAW_FILES/BAL_214_Ecoli.wiff	Data transformation		FILES/DERIVED_FILES/BAL_214_Ecoli-control Ecoli_2_5.mzML	Metabolite identification	ProteoWizard software	MS	http://purl.obolibrary.org/obo/MS_1000615	3.0.19142	Conversion to mzML	MS	http://purl.obolibrary.org/obo/MS_1000544	peak picking	MS	http://purl.obolibrary.org/obo/MS_1000035	m_MTBLS2240_LC-MS_negative__metabolite_profiling_v2_maf.tsv
