Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Pellet Weight]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Genotype]	Term Source REF	Term Accession Number
BAL_214_Ecoli-MEcPP Ecoli_1_1	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ispg-2d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	32			Sample collection	BAL_214_Ecoli-MEcPP Ecoli_1_1	ispg-2d		
BAL_214_Ecoli-MEcPP Ecoli_1_2	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ispg-2d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	29.3			Sample collection	BAL_214_Ecoli-MEcPP Ecoli_1_2	ispg-2d		
BAL_214_Ecoli-MEcPP Ecoli_1_3	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ispg-2d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	29.8			Sample collection	BAL_214_Ecoli-MEcPP Ecoli_1_3	ispg-2d		
BAL_214_Ecoli-MEcPP Ecoli_1_4	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ispg-2d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	32.1			Sample collection	BAL_214_Ecoli-MEcPP Ecoli_1_4	ispg-2d		
BAL_214_Ecoli-MEcPP Ecoli_1_5	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ispg-2d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	31.3			Sample collection	BAL_214_Ecoli-MEcPP Ecoli_1_5	ispg-2d		
BAL_214_Ecoli-control Ecoli_2_1	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ctrl-d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	29.8			Sample collection	BAL_214_Ecoli-control Ecoli_2_1	ctrl-d		
BAL_214_Ecoli-control Ecoli_2_2	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ctrl-d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	30.3			Sample collection	BAL_214_Ecoli-control Ecoli_2_2	ctrl-d		
BAL_214_Ecoli-control Ecoli_2_3	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ctrl-d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	32.4			Sample collection	BAL_214_Ecoli-control Ecoli_2_3	ctrl-d		
BAL_214_Ecoli-control Ecoli_2_4	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ctrl-d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	32.5			Sample collection	BAL_214_Ecoli-control Ecoli_2_4	ctrl-d		
BAL_214_Ecoli-control Ecoli_2_5	Escherichia coli str. K-12 substr. MG1655	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_511145	ctrl-d			Cell Pellet	NCIT	http://purl.obolibrary.org/obo/NCIT_C113745	32.2			Sample collection	BAL_214_Ecoli-control Ecoli_2_5	ctrl-d		
BAL_214_warmup_and_QC-H2O warmup	solvent blank	MSIO	http://purl.obolibrary.org/obo/MSIO_0000026				solvent blank						Sample collection	BAL_214_warmup_and_QC-H2O warmup			
BAL_214_warmup_and_QC-NRG01	reference compound mix	MSIO	http://purl.obolibrary.org/obo/MSIO_0000024				reference compound mix						Sample collection	BAL_214_warmup_and_QC-NRG01			
